subject,sequence,camera_id,media_kind,media_frames,sampling_step,selected_frames,selected_offset,matched_frames,alignment_fraction,width,height,reported_fps,decode_probe_ok
S4,Seq1,8,video,6171,5,1235,0,1235,1.0,2048,2048,25.0,True
S4,Seq2,0,video,6675,5,1335,0,1335,1.0,2048,2048,25.0,True
S4,Seq2,1,video,6675,5,1335,0,1335,1.0,2048,2048,25.0,True
S4,Seq2,2,video,6675,5,1335,0,1335,1.0,2048,2048,25.0,True
S4,Seq2,4,video,6675,5,1335,0,1335,1.0,2048,2048,25.0,True
S4,Seq2,5,video,6675,5,1335,0,1335,1.0,2048,2048,25.0,True
S4,Seq2,6,video,6675,5,1335,0,1335,1.0,2048,2048,25.0,True
S4,Seq2,7,video,6675,5,1335,0,1335,1.0,2048,2048,25.0,True
S4,Seq2,8,video,6675,5,1335,0,1335,1.0,2048,2048,25.0,True
S5,Seq1,0,video,12820,10,1282,0,1282,1.0,2048,2048,50.0,True
S5,Seq1,1,video,12820,10,1282,0,1282,1.0,2048,2048,50.0,True
S5,Seq1,2,video,12820,10,1282,0,1282,1.0,2048,2048,50.0,True
S5,Seq1,4,video,12820,10,1282,0,1282,1.0,2048,2048,50.0,True
S5,Seq1,5,video,12820,10,1282,0,1282,1.0,2048,2048,50.0,True
S5,Seq1,6,video,12820,10,1282,0,1282,1.0,2048,2048,50.0,True
S5,Seq1,7,video,12820,10,1282,0,1282,1.0,2048,2048,50.0,True
S5,Seq1,8,video,12820,10,1282,0,1282,1.0,2048,2048,50.0,True
S5,Seq2,0,video,12312,10,1232,0,1232,1.0,2048,2048,50.0,True
S5,Seq2,1,video,12312,10,1232,0,1232,1.0,2048,2048,50.0,True
S5,Seq2,2,video,12312,10,1232,0,1232,1.0,2048,2048,50.0,True
S5,Seq2,4,video,12312,10,1232,0,1232,1.0,2048,2048,50.0,True
S5,Seq2,5,video,12312,10,1232,0,1232,1.0,2048,2048,50.0,True
S5,Seq2,6,video,12312,10,1232,0,1232,1.0,2048,2048,50.0,True
S5,Seq2,7,video,12312,10,1232,0,1232,1.0,2048,2048,50.0,True
S5,Seq2,8,video,12312,10,1232,0,1232,1.0,2048,2048,50.0,True
S6,Seq1,0,video,6188,5,1238,0,1238,1.0,2048,2048,25.0,True
S6,Seq1,1,video,6188,5,1238,0,1238,1.0,2048,2048,25.0,True
S6,Seq1,2,video,6188,5,1238,0,1238,1.0,2048,2048,25.0,True
S6,Seq1,4,video,6188,5,1238,0,1238,1.0,2048,2048,25.0,True
S6,Seq1,5,video,6188,5,1238,0,1238,1.0,2048,2048,25.0,True
S6,Seq1,6,video,6188,5,1238,0,1238,1.0,2048,2048,25.0,True
S6,Seq1,7,video,6188,5,1238,0,1238,1.0,2048,2048,25.0,True
S6,Seq1,8,video,6188,5,1238,0,1238,1.0,2048,2048,25.0,True
S6,Seq2,0,video,6145,5,1229,0,1229,1.0,2048,2048,25.0,True
S6,Seq2,1,video,6145,5,1229,0,1229,1.0,2048,2048,25.0,True
S6,Seq2,2,video,6145,5,1229,0,1229,1.0,2048,2048,25.0,True
S6,Seq2,4,video,6145,5,1229,0,1229,1.0,2048,2048,25.0,True
S6,Seq2,5,video,6145,5,1229,0,1229,1.0,2048,2048,25.0,True
S6,Seq2,6,video,6145,5,1229,0,1229,1.0,2048,2048,25.0,True
S6,Seq2,7,video,6145,5,1229,0,1229,1.0,2048,2048,25.0,True
S6,Seq2,8,video,6145,5,1229,0,1229,1.0,2048,2048,25.0,True
S7,Seq1,0,video,6239,5,1248,0,1248,1.0,2048,2048,25.0,True
S7,Seq1,1,video,6239,5,1248,0,1248,1.0,2048,2048,25.0,True
S7,Seq1,2,video,6239,5,1248,0,1248,1.0,2048,2048,25.0,True
S7,Seq1,4,video,6239,5,1248,0,1248,1.0,2048,2048,25.0,True
S7,Seq1,5,video,6239,5,1248,0,1248,1.0,2048,2048,25.0,True
S7,Seq1,6,video,6239,5,1248,0,1248,1.0,2048,2048,25.0,True
S7,Seq1,7,video,6239,5,1248,0,1248,1.0,2048,2048,25.0,True
S7,Seq1,8,video,6239,5,1248,0,1248,1.0,2048,2048,25.0,True
S7,Seq2,0,video,6320,5,1264,0,1264,1.0,2048,2048,25.0,True
S7,Seq2,1,video,6320,5,1264,0,1264,1.0,2048,2048,25.0,True
S7,Seq2,2,video,6320,5,1264,0,1264,1.0,2048,2048,25.0,True
S7,Seq2,4,video,6320,5,1264,0,1264,1.0,2048,2048,25.0,True
S7,Seq2,5,video,6320,5,1264,0,1264,1.0,2048,2048,25.0,True
S7,Seq2,6,video,6320,5,1264,0,1264,1.0,2048,2048,25.0,True
S7,Seq2,7,video,6320,5,1264,0,1264,1.0,2048,2048,25.0,True
S7,Seq2,8,video,6320,5,1264,0,1264,1.0,2048,2048,25.0,True
S8,Seq1,0,video,6468,5,1294,0,1294,1.0,2048,2048,25.0,True
S8,Seq1,1,video,6468,5,1294,0,1294,1.0,2048,2048,25.0,True
S8,Seq1,2,video,6468,5,1294,0,1294,1.0,2048,2048,25.0,True
S8,Seq1,4,video,6468,5,1294,0,1294,1.0,2048,2048,25.0,True
S8,Seq1,5,video,6468,5,1294,0,1294,1.0,2048,2048,25.0,True
S8,Seq1,6,video,6468,5,1294,0,1294,1.0,2048,2048,25.0,True
S8,Seq1,7,video,6468,5,1294,0,1294,1.0,2048,2048,25.0,True
S8,Seq1,8,video,6468,5,1294,0,1294,1.0,2048,2048,25.0,True
S8,Seq2,0,video,6054,5,1211,0,1211,1.0,2048,2048,25.0,True
S8,Seq2,1,video,6054,5,1211,0,1211,1.0,2048,2048,25.0,True
S8,Seq2,2,video,6054,5,1211,0,1211,1.0,2048,2048,25.0,True
S8,Seq2,4,video,6054,5,1211,0,1211,1.0,2048,2048,25.0,True
S8,Seq2,5,video,6054,5,1211,0,1211,1.0,2048,2048,25.0,True
S8,Seq2,6,video,6054,5,1211,0,1211,1.0,2048,2048,25.0,True
S8,Seq2,7,video,6054,5,1211,0,1211,1.0,2048,2048,25.0,True
S8,Seq2,8,video,6054,5,1211,0,1211,1.0,2048,2048,25.0,True
